cp	min_bucket	max_depth	min_split	ganancia_promedio
0.5	50	12	100	5260000
1	50	12	100	5260000
-1	25	12	50	7020667
-0.5	25	12	50	7020667
0	25	12	50	7020667
0.5	25	12	50	7020667
1	25	12	50	7020667
-1	10	12	20	7537333
-0.5	10	12	20	7537333
0	10	12	20	7537333
0.5	10	12	20	7537333
1	10	12	20	7537333
-1	5	12	10	9740667
-0.5	5	12	10	9740667
0	5	12	10	9740667
0.5	5	12	10	9740667
1	5	12	10	9740667
-1	500	14	1000	10646667
-0.5	500	14	1000	10646667
0	500	14	1000	10646667
0.5	500	14	1000	10646667
1	500	14	1000	10646667
-1	400	14	800	8711333
-0.5	400	14	800	8711333
0	400	14	800	8711333
0.5	400	14	800	8711333
1	400	14	800	8711333
-1	300	14	600	8137333
-0.5	300	14	600	8137333
0	300	14	600	8137333
0.5	300	14	600	8137333
1	300	14	600	8137333
-1	200	14	400	8024667
-0.5	200	14	400	8024667
0	200	14	400	8024667
0.5	200	14	400	8024667
1	200	14	400	8024667
-1	100	14	200	6132000
-0.5	100	14	200	6132000
0	100	14	200	6132000
0.5	100	14	200	6132000
1	100	14	200	6132000
-1	50	14	100	4418000
-0.5	50	14	100	4418000
0	50	14	100	4418000
0.5	50	14	100	4418000
1	50	14	100	4418000
-1	25	14	50	5388000
-0.5	25	14	50	5388000
0	25	14	50	5388000
0.5	25	14	50	5388000
1	25	14	50	5388000
-1	10	14	20	5281333
-0.5	10	14	20	5281333
0	10	14	20	5281333
0.5	10	14	20	5281333
1	10	14	20	5281333
-1	5	14	10	8216667
-0.5	5	14	10	8216667
0	5	14	10	8216667
0.5	5	14	10	8216667
1	5	14	10	8216667
