fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220416 202026	-0.956772106705456	1761	752	16	5	9787000	89
20220416 202102	-0.127953144325853	1477	711	18	5	10033000	90
20220416 202137	-0.267994443044827	1724	654	20	5	10449000	91
20220416 202210	-0.67338501352622	3661	584	14	5	10282000	92
20220416 202248	-0.0919155501796518	820	366	12	5	9433000	93
20220416 202314	-0.0436639994838678	7738	1	7	5	8464000	94
20220416 202347	-0.637444279446734	2427	1212	12	5	9773000	95
20220416 202420	-0.857737813924749	4130	665	20	5	10163000	96
20220416 202454	-0.249649761760078	2605	783	15	5	10171000	97
20220416 202526	-0.133116089091086	2852	727	10	5	10291000	98
20220416 202559	-0.144912439178944	6330	583	20	5	9613000	99
20220416 202632	-0.216990582853198	4055	544	20	5	10364000	100
20220416 202711	-0.319056282751942	7994	36	20	5	8191000	101
20220416 202745	-0.746033714855514	2616	546	16	5	10411000	102
20220416 202817	-0.999955669648633	6661	570	20	5	9195000	103
20220416 202845	-0.223466688553097	1900	946	7	5	10644000	104
20220416 202918	-0.890121694714144	2875	721	10	5	10294000	105
20220416 202940	-0.318036605756744	5716	1998	5	5	9119000	106
20220416 203014	-0.776035774793464	4310	657	18	5	10092000	107
20220416 203039	-0.53669330992577	7999	1229	7	5	8527000	108
20220416 203131	-0.434155016079867	1738	15	20	5	9653000	109
20220416 203204	-0.570374931880178	4810	517	10	5	10006000	110
20220416 203239	-0.594162139668264	1286	632	10	5	10250000	111
20220416 203306	-0.069800042996036	7999	1997	9	5	8527000	112
20220416 203338	-0.124106425784806	1518	736	8	5	10123000	113
20220416 203412	-0.210355391508482	2265	1126	12	5	10072000	114
20220416 203447	-0.700875949007313	2160	665	12	5	9990000	115
20220416 203520	-0.222247190321972	3952	926	10	5	10190000	116
