fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220424 181820	0	0	0	1	auto	depthwise	256	0	1	0.0103608902988539	0.436150461640712	10	30	0.0139332092597409	335	13473000	41
20220424 184907	0	0	0	1	auto	depthwise	256	0	1	0.0101348546098887	0.364659353198833	10	30	0.0201146327901248	515	12475000	42
20220424 190718	0	0	0	1	auto	depthwise	256	0	1	0.0233654739068524	0.704919140272598	9	30	0.0129659102593782	83	13111000	43
20220424 191440	0	0	0	1	auto	depthwise	256	0	1	0.115082013880494	0.925907648863446	10	30	0.0124998857799742	24	13112000	44
20220424 192903	0	0	0	1	auto	depthwise	256	0	1	0.02972226430687	0.821140621254826	2	7	0.0113729238636654	224	12383000	45
20220424 194456	0	0	0	1	auto	depthwise	256	0	1	0.0104168863188412	0.964493941810311	8	2	0.0130660077545234	748	12983000	46
20220424 200741	0	0	0	1	auto	depthwise	256	0	1	0.0100024394498908	0.690629379308191	9	6	0.0135775164049741	429	13343000	47
20220424 201133	0	0	0	1	auto	depthwise	256	0	1	0.0775836440801711	0.756027013173935	10	5	0.0137658315238852	65	13119000	48
20220424 202434	0	0	0	1	auto	depthwise	256	0	1	0.0100445425609058	0.615097517449303	10	2	0.0121264952711279	863	12816000	49
20220424 203012	0	0	0	1	auto	depthwise	256	0	1	0.0659423392427647	0.997873666180356	7	8	0.0105778120428156	15	12474000	50
20220424 204056	0	0	0	1	auto	depthwise	256	0	1	0.0347190499614348	0.53518442594876	10	28	0.0128618730003405	78	13506000	51
20220424 211135	0	0	0	1	auto	depthwise	256	0	1	0.0100767940763405	0.81327315912114	7	6	0.0185082080007824	613	13003000	52
20220424 211352	0	0	0	1	auto	depthwise	256	0	1	0.223400787384495	0.20227118288069	2	13	0.00840774519117991	39	10799000	53
20220424 214422	0	0	0	1	auto	depthwise	256	0	1	0.0100462184923737	0.998886927334388	10	6	0.0146093282558977	442	13206000	54
20220424 220438	0	0	0	1	auto	depthwise	256	0	1	0.0264093915002932	0.825677232790948	10	30	0.01279139054732	120	13100000	55
20220424 221136	0	0	0	1	auto	depthwise	256	0	1	0.0464433800093812	0.517581890771084	10	12	0.0139874964669096	72	13626000	56
20220424 221422	0	0	0	1	auto	depthwise	256	0	1	0.126467025074441	0.266605104274817	10	28	0.0128933275631504	27	12728000	57
20220424 222027	0	0	0	1	auto	depthwise	256	0	1	0.0426458815782243	0.638391497996978	10	4	0.0153985867002271	220	13385000	58
20220424 230833	0	0	0	1	auto	depthwise	256	0	1	0.0100350964543011	0.999682798497287	10	30	0.0136123310099432	191	13289000	59
20220424 234432	0	0	0	1	auto	depthwise	256	0	1	0.0103524406157829	0.87733247550062	7	6	0.0132428401374569	735	13025000	60
20220424 235150	0	0	0	1	auto	depthwise	256	0	1	0.0478295720198456	0.552846466510018	10	27	0.0114830255479814	26	12822000	61
20220425 000956	0	0	0	1	auto	depthwise	256	0	1	0.0160466187356042	0.725038592415582	10	2	0.0202428498036764	1457	12991000	62
20220425 001345	0	0	0	1	auto	depthwise	256	0	1	0.172198775364309	0.51864449040948	10	30	0.0148782254522042	20	12868000	63
20220425 001911	0	0	0	1	auto	depthwise	256	0	1	0.0323269095190999	0.52462211996312	8	2	0.0194334607145605	447	13191000	64
20220425 002231	0	0	0	1	auto	depthwise	256	0	1	0.151919446237019	0.99781027697317	9	7	0.0135356019813698	13	12700000	65
20220425 002948	0	0	0	1	auto	depthwise	256	0	1	0.11182820866295	0.931223689001216	10	30	0.0186141799628616	24	12327000	66
20220425 003301	0	0	0	1	auto	depthwise	256	0	1	0.155189277737032	0.648334739630588	0	2	0.00833815251985704	244	12085000	67
20220425 010620	0	0	0	1	auto	depthwise	256	0	1	0.010850294709615	0.673977849206247	10	30	0.0140085932856628	209	13666000	68
20220425 013626	0	0	0	1	auto	depthwise	256	0	1	0.0101095746991813	0.561423022093449	10	27	0.0135813373740537	208	13563000	69
