fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220423 215428	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	470	TRUE	0.0100349507557763	0.517407091966295	3996	452	0.0177137265003985	13910000	31
20220423 215733	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	534	TRUE	0.010411391255406	0.505233435845317	4929	609	0.017856857683917	13584000	32
20220423 220055	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	544	TRUE	0.0100277692944596	0.521741252732319	3926	252	0.0169466665072416	13967000	33
20220423 220309	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	436	TRUE	0.0101686232266892	0.904712534134296	4128	149	0.0168323375796348	13191000	34
20220423 220323	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	54	TRUE	0.299698095578815	0.935542064162369	7394	278	0.00834578232445019	10506000	35
20220423 220600	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	472	TRUE	0.01625720562236	0.523669944280328	3789	329	0.0178280793247038	13402000	36
20220423 220828	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	427	TRUE	0.0100152569654274	0.625030478563751	3796	561	0.0160681521015498	13953000	37
20220423 221201	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	709	TRUE	0.0101635846109496	0.583933051508921	3911	707	0.0224198877922839	12812000	38
20220423 221216	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	36	TRUE	0.133876194369374	0.947618921441454	7932	877	0.0209327052167343	12489000	39
20220423 221521	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	492	TRUE	0.0100057402300616	0.461846145198678	4148	213	0.0144580989698335	13505000	40
