fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220425 212316	0	0	0	1	hist	lossguide	256	0	1	0.0100138360345256	0.751845887358275	10	924	0.0129497604131512	224	13364000	41
20220425 212724	0	0	0	1	hist	lossguide	256	0	1	0.0100724166740212	0.539912931450513	10	146	0.0152765480881545	211	13514000	42
20220425 213229	0	0	0	1	hist	lossguide	256	0	1	0.0100148793539953	0.541030034185645	9	2	0.0152352857394216	1944	12983000	43
20220425 213932	0	0	0	1	hist	lossguide	256	0	1	0.0100359387806699	0.316241505877757	5	102	0.0165280885564387	451	12839000	44
20220425 214335	0	0	0	1	hist	lossguide	256	0	1	0.0100754293296445	0.622209973111764	10	381	0.0139662079149766	190	13631000	45
20220425 214545	0	0	0	1	hist	lossguide	256	0	1	0.0101646219421411	0.200098452770692	3	2	0.00967852137598597	521	11039000	46
20220425 215015	0	0	0	1	hist	lossguide	256	0	1	0.010160348899663	0.626099717100856	10	647	0.0136925310360592	284	13612000	47
20220425 215430	0	0	0	1	hist	lossguide	256	0	1	0.0100136187400584	0.21307865621439	6	6	0.0139253510967438	981	13657000	48
20220425 215650	0	0	0	1	hist	lossguide	256	0	1	0.0205326658741356	0.68873902763881	10	250	0.0139968858655933	126	13770000	49
20220425 220333	0	0	0	1	hist	lossguide	256	0	1	0.0112010872856206	0.200148175528007	10	53	0.0138527881506662	760	13081000	50
20220425 220627	0	0	0	1	hist	lossguide	256	0	1	0.0154501603961178	0.200366599852571	6	3	0.0202768882078999	874	13198000	51
20220425 221122	0	0	0	1	hist	lossguide	256	0	1	0.0103076983121069	0.211853065206563	9	1024	0.0137839446902453	332	13169000	52
20220425 221546	0	0	0	1	hist	lossguide	256	0	1	0.010003124212222	0.735490095856871	10	262	0.014213259301964	258	13202000	53
20220425 221750	0	0	0	1	hist	lossguide	256	0	1	0.0230325283418364	0.636142915435014	10	162	0.0131742890094898	104	13396000	54
20220425 222016	0	0	0	1	hist	lossguide	256	0	1	0.019913324653206	0.887472041490321	6	435	0.0126590341386428	50	13217000	55
20220425 222248	0	0	0	1	hist	lossguide	256	0	1	0.0191753570058841	0.506710947937004	10	362	0.015953800079139	154	13363000	56
20220425 222447	0	0	0	1	hist	lossguide	256	0	1	0.0333527571948952	0.286991041251804	6	212	0.0139990217119463	91	13185000	57
20220425 222756	0	0	0	1	hist	lossguide	256	0	1	0.0100789280492891	0.588744013537245	10	8	0.0273373005278815	461	12256000	58
20220425 222924	0	0	0	1	hist	lossguide	256	0	1	0.0461899902113326	0.618715880805489	10	140	0.0196688021200577	99	12653000	59
20220425 223021	0	0	0	1	hist	lossguide	256	0	1	0.0623924777257877	0.999735498036158	10	218	0.014387507956715	32	13155000	60
20220425 223105	0	0	0	1	hist	lossguide	256	0	1	0.148250174434866	0.999370460495587	10	216	0.00960483571479872	42	11847000	61
20220425 223629	0	0	0	1	hist	lossguide	256	0	1	0.0101751573216133	0.432208987002441	10	114	0.0218335891282198	463	12535000	62
20220425 224115	0	0	0	1	hist	lossguide	256	0	1	0.0105528575941634	0.686283250953047	5	301	0.0135472561060285	132	12930000	63
20220425 224208	0	0	0	1	hist	lossguide	256	0	1	0.225511469386723	0.999499620028613	1	853	0.00838157622929627	1	7002000	64
20220425 224312	0	0	0	1	hist	lossguide	256	0	1	0.0682237637145975	0.687963750322852	6	61	0.0145355512485714	33	12188000	65
20220425 224518	0	0	0	1	hist	lossguide	256	0	1	0.0220955742126445	0.703612716327955	10	431	0.0138809259091071	97	13463000	66
20220425 224756	0	0	0	1	hist	lossguide	256	0	1	0.018755650277657	0.999732341640843	8	772	0.0135317537771838	111	13010000	67
20220425 225354	0	0	0	1	hist	lossguide	256	0	1	0.0101340980503776	0.201250532006103	6	678	0.0137545376013709	347	13155000	68
20220425 225723	0	0	0	1	hist	lossguide	256	0	1	0.0124519700492752	0.533727952562224	10	252	0.0138283818290369	181	13243000	69
20220425 230141	0	0	0	1	hist	lossguide	256	0	1	0.0105240358556012	0.904552325590841	10	731	0.0134081082088109	253	13609000	70
20220425 230242	0	0	0	1	hist	lossguide	256	0	1	0.124180326552411	0.998817242450799	10	2	0.0205983687194827	399	13003000	71
20220425 230727	0	0	0	1	hist	lossguide	256	0	1	0.0100883746178505	0.854390429590959	7	784	0.0130927553277693	200	13465000	72
20220425 231151	0	0	0	1	hist	lossguide	256	0	1	0.0108983233425366	0.998488873779337	8	214	0.0181827716076515	210	12509000	73
20220425 231630	0	0	0	1	hist	lossguide	256	0	1	0.0100384791029824	0.402376012753898	10	1024	0.0148596968578607	312	13223000	74
20220425 231725	0	0	0	1	hist	lossguide	256	0	1	0.112349695593856	0.200247937021649	6	1022	0.0110630766402801	34	12199000	75
20220425 231807	0	0	0	1	hist	lossguide	256	0	1	0.121811348756056	0.919047223592062	10	205	0.0152636829349714	27	12545000	76
20220425 232039	0	0	0	1	hist	lossguide	256	0	1	0.018655315216668	0.659752043497213	10	263	0.0158772564402919	137	13425000	77
20220425 232554	0	0	0	1	hist	lossguide	256	0	1	0.0100365154623345	0.271155190294414	10	556	0.015398891081654	432	13079000	78
20220425 232642	0	0	0	1	hist	lossguide	256	0	1	0.0853420403502538	0.999944390661171	10	2	0.0263428352383902	266	11995000	79
20220425 232818	0	0	0	1	hist	lossguide	256	0	1	0.0275455611261784	0.672214386873503	10	219	0.0144844664378925	52	13364000	80
20220425 232943	0	0	0	1	hist	lossguide	256	0	1	0.0492639853606213	0.306769028774124	10	1024	0.0136653173333073	101	12931000	81
20220425 233357	0	0	0	1	hist	lossguide	256	0	1	0.0100718221522252	0.56589910890736	10	792	0.0159601717969166	233	13443000	82
20220425 233424	0	0	0	1	hist	lossguide	256	0	1	0.296511167606778	0.99985304322666	10	778	0.0182566746211123	7	11711000	83
20220425 233822	0	0	0	1	hist	lossguide	256	0	1	0.010045364541969	0.689464568928897	10	765	0.0134724499562969	179	13633000	84
20220425 234005	0	0	0	1	hist	lossguide	256	0	1	0.0292771235384731	0.864523297259714	10	354	0.013465957934856	82	13309000	85
20220425 234547	0	0	0	1	hist	lossguide	256	0	1	0.0103494036337315	0.369555732703776	6	956	0.0151141427552919	331	13163000	86
20220425 234641	0	0	0	1	hist	lossguide	256	0	1	0.072431528458009	0.778968703619999	10	948	0.013882456357889	36	13095000	87
20220425 235016	0	0	0	1	hist	lossguide	256	0	1	0.0139549509337305	0.786838633817902	6	790	0.0126314691407589	120	13196000	88
20220425 235609	0	0	0	1	hist	lossguide	256	0	1	0.0100287494382912	0.611668523129902	4	1022	0.0160651894124212	202	12614000	89
20220425 235711	0	0	0	1	hist	lossguide	256	0	1	0.057082668507676	0.997772508129984	8	957	0.0139292895088844	26	13637000	90
20220425 235838	0	0	0	1	hist	lossguide	256	0	1	0.0335412056098648	0.893896744524838	8	1023	0.0137289606156241	33	12959000	91
20220425 235949	0	0	0	1	hist	lossguide	256	0	1	0.0464849249770783	0.99983792241208	10	992	0.0154143459694738	48	13190000	92
20220426 000027	0	0	0	1	hist	lossguide	256	0	1	0.135680002158339	0.912580830172055	10	1016	0.014093100267385	16	13114000	93
20220426 000127	0	0	0	1	hist	lossguide	256	0	1	0.0746618427387996	0.998766308291554	10	967	0.0189274130552826	51	12377000	94
20220426 000201	0	0	0	1	hist	lossguide	256	0	1	0.161450514238968	0.998883045104573	10	723	0.0182942317016853	12	12058000	95
20220426 000241	0	0	0	1	hist	lossguide	256	0	1	0.147609224316495	0.200519103215747	10	892	0.0124499891395098	31	12320000	96
20220426 000723	0	0	0	1	hist	lossguide	256	0	1	0.0100587945556434	0.382021719963605	10	68	0.0156410664968027	324	13525000	97
20220426 001315	0	0	0	1	hist	lossguide	256	0	1	0.0102504429146937	0.202943872112552	6	142	0.0150460692580332	342	13364000	98
20220426 001612	0	0	0	1	hist	lossguide	256	0	1	0.0101944304212768	0.245209552142815	7	2	0.0139208799261982	928	12480000	99
20220426 001721	0	0	0	1	hist	lossguide	256	0	1	0.0591213019044362	0.69867955848682	6	978	0.0133526820668087	31	12597000	100
20220426 002331	0	0	0	1	hist	lossguide	256	0	1	0.0101812644013862	0.20113761760036	10	951	0.0196610010398708	596	12981000	101
20220426 002432	0	0	0	1	hist	lossguide	256	0	1	0.058271904795257	0.871678014440718	9	811	0.0107415202052739	30	12963000	102
20220426 002912	0	0	0	1	hist	lossguide	256	0	1	0.012588828111707	0.8548916213032	5	835	0.0130660555366637	197	13057000	103
20220426 002956	0	0	0	1	hist	lossguide	256	0	1	0.11133040102734	0.999194794798779	8	1004	0.0137603945653403	20	12271000	104
20220426 003057	0	0	0	1	hist	lossguide	256	0	1	0.0692192127127758	0.200414035016018	10	2	0.018126256379436	362	13395000	105
20220426 003137	0	0	0	1	hist	lossguide	256	0	1	0.14165178755224	0.833883592864473	7	883	0.0128318940621486	13	12800000	106
20220426 003643	0	0	0	1	hist	lossguide	256	0	1	0.0103896238466084	0.252798240571724	8	793	0.0158646492421528	326	12895000	107
20220426 003716	0	0	0	1	hist	lossguide	256	0	1	0.221693529202164	0.86046116811173	10	930	0.0127925255703817	13	11434000	108
20220426 004156	0	0	0	1	hist	lossguide	256	0	1	0.0100813582440409	0.415400346599461	10	375	0.0156691946999614	315	13336000	109
20220426 004236	0	0	0	1	hist	lossguide	256	0	1	0.133272796095214	0.60887659480912	9	699	0.0189047064759506	24	11385000	110
20220426 004355	0	0	0	1	hist	lossguide	256	0	1	0.0488475758289491	0.200385796803426	6	2	0.0158490289757773	483	13400000	111
20220426 004459	0	0	0	1	hist	lossguide	256	0	1	0.0572341116919014	0.937497765059724	10	853	0.0133545285066162	46	13242000	112
20220426 004606	0	0	0	1	hist	lossguide	256	0	1	0.0575067001096084	0.998760020135836	7	52	0.0152292074623637	31	12758000	113
20220426 004639	0	0	0	1	hist	lossguide	256	0	1	0.139800003204581	0.214392934343844	6	5	0.0142099518513179	104	12993000	114
20220426 004733	0	0	0	1	hist	lossguide	256	0	1	0.0831846412742303	0.366358421438457	10	172	0.0166020221519069	47	12823000	115
20220426 004815	0	0	0	1	hist	lossguide	256	0	1	0.12959016612089	0.993162541882479	6	3	0.0117444611670433	177	12964000	116
20220426 005245	0	0	0	1	hist	lossguide	256	0	1	0.0100642979889196	0.69653046906644	10	9	0.0228807001454905	877	12729000	117
20220426 005310	0	0	0	1	hist	lossguide	256	0	1	0.23284345423863	0.206203064445507	10	3	0.0208985739546659	82	12499000	118
20220426 005346	0	0	0	1	hist	lossguide	256	0	1	0.150675345750945	0.200187132453083	10	321	0.0187686249199936	15	12169000	119
20220426 005421	0	0	0	1	hist	lossguide	256	0	1	0.157992739673449	0.312790392232538	10	3	0.0172159043617943	148	13180000	120
