Feature	Gain	Cover	Frequency
ctrx_quarter	0.145350234895142	0.0493627853584658	0.0625650996458579
mpasivos_margen	0.0477918021787582	0.0409070890205133	0.0518713978195959
mrentabilidad_annual	0.040441824904171	0.0328975024006052	0.0385389903478925
mcuentas_saldo	0.0400149401192464	0.0463140497297896	0.0412471356155822
Visa_Fvencimiento	0.0324720016214138	0.0355336404627319	0.0334004583015068
mpayroll	0.0320152508045938	0.0149777107217032	0.00874939240330533
Master_fechaalta	0.0310751878879734	0.0350055486090183	0.0375668356364141
mcaja_ahorro	0.0306668804823803	0.0222337213368344	0.0334698979237553
numero_de_cliente	0.0299892792363508	0.0426999410573144	0.0362474828136935
Visa_fechaalta	0.0291785704540778	0.0264971744720625	0.028539684744115
Master_Fvencimiento	0.0264579146174713	0.0279322192763547	0.0290257620998542
mactivos_margen	0.0262810727710957	0.0299836263744404	0.0340254149017429
cliente_antiguedad	0.0259182463948918	0.0359278242174632	0.0302756753003264
cliente_edad	0.0251800759888739	0.0392700222687569	0.0345809318797306
mcuenta_corriente	0.024376084038509	0.0471640233952039	0.0267342545656552
chomebanking_trx	0.0219155308116438	0.018783056813302	0.02472050552045
mrentabilidad	0.0218963598414955	0.0225430659802744	0.0250677036316922
mtarjeta_visa_consumo	0.021008304770968	0.0197486923882639	0.0245121866537046
cpayroll_trx	0.0178074366515283	0.00476767605455956	0.00194430942295674
Visa_mpagospesos	0.0176266810207378	0.0163844889690852	0.0232622734532324
Master_mfinanciacion_limite	0.0168984468136254	0.0141582147496383	0.0184014998958406
mtransferencias_recibidas	0.0160811160102183	0.0140425750254062	0.0218040413860149
mcomisiones_otras	0.0157605729823872	0.0123006161022326	0.0171515866953684
mprestamos_personales	0.0151712105331707	0.0202144015999852	0.00756891882508159
Visa_mfinanciacion_limite	0.0151685678802469	0.0147506908538042	0.0156933546281508
Visa_mpagominimo	0.0151229630737601	0.0133744075550169	0.0195819734740643
Visa_mconsumospesos	0.014898889536456	0.0117892396511882	0.0197902923408097
mcaja_ahorro_dolares	0.0145735411815163	0.0158256260828514	0.0190264564960767
Visa_msaldopesos	0.012219932710193	0.0146138740134637	0.0163877508506354
mcomisiones	0.0118335776770987	0.0111187180723268	0.0152767168946601
ctarjeta_visa_trx	0.00992831385142295	0.00556549697343613	0.00888827164780224
mtransferencias_emitidas	0.00904249144455318	0.00966652401919676	0.0111103395597528
ccomisiones_otras	0.00826467320655374	0.0126395732117197	0.0106242622040136
Master_mpagospesos	0.00779796664157511	0.0119595982234443	0.00958266787028679
Visa_msaldototal	0.00700928165019366	0.0108010835160161	0.0111797791820013
mtarjeta_visa_debitos_automaticos	0.00699827299192525	0.00795419481731558	0.00944378862578988
mcuenta_debitos_automaticos	0.00661931899830302	0.0069479354647415	0.00652732449135477
mautoservicio	0.00572890251128938	0.00794618838347549	0.0111797791820013
cproductos	0.00549710694568671	0.00405200735877053	0.00499965280188876
Visa_mlimitecompra	0.00496368529834326	0.0074771612345778	0.00506909242413721
Visa_cconsumos	0.00495786716367947	0.00489886768491759	0.00659676411360322
Visa_mpagado	0.00459459762342031	0.00531377745434327	0.00534685091313103
ctransferencias_recibidas	0.00459315910666851	0.0047620163340864	0.00451357544614957
ctarjeta_debito	0.00413283183405566	0.00477137114209844	0.00520797166863412
mpagomiscuentas	0.00379284994940309	0.00624945299331609	0.00562460940212485
