Feature	Gain	Cover	Frequency
ctrx_quarter	0.146394714155344	0.0421217953383414	0.0337810611148422
mpasivos_margen	0.0981081210084232	0.0312279669495244	0.0345198119543318
cpayroll_trx	0.0800419915382868	0.0310480089898101	0.00933512424445937
mpayroll	0.0768964324660497	0.0662396093226441	0.0246474143720618
mtarjeta_visa_consumo	0.0680555771887232	0.0305675111609967	0.032505036937542
mcaja_ahorro	0.0444729520365449	0.0215660568072245	0.0277367360644728
mprestamos_personales	0.0302139395159515	0.0321367394454764	0.0148421759570181
mrentabilidad_annual	0.0297317059506144	0.026419097688813	0.0327736736064473
mcuentas_saldo	0.0296742175039089	0.0363967425695354	0.0358629952988583
Visa_msaldototal	0.026423099309079	0.021420677834765	0.0229684351914036
mactivos_margen	0.0260895692884273	0.026517666444741	0.0237743451981195
Visa_msaldopesos	0.0227898156041051	0.0263783122656926	0.0280725319006044
Master_fechaalta	0.0172891031288095	0.035722206622747	0.0357286769644056
ctarjeta_visa_trx	0.0150545684467959	0.00903220546530215	0.0106111484217596
numero_de_cliente	0.0136073615154186	0.0158491836849474	0.0251846877098724
chomebanking_trx	0.0134081424212112	0.0186566054847398	0.0233713901947616
Visa_fechaalta	0.012634510124746	0.0126763565395495	0.0218267293485561
mrentabilidad	0.0118968737568542	0.0139643678880347	0.0220953660174614
cliente_edad	0.0115200946977751	0.0268280589829761	0.0291470785762257
mcomisiones_otras	0.011369928878553	0.0123776407430985	0.0174613834788449
mcaja_ahorro_dolares	0.0107348405270615	0.0277091319606333	0.0291470785762257
mcuenta_corriente	0.0106009570714632	0.0132084886260801	0.0171255876427132
Master_Fvencimiento	0.0103050268168182	0.0215846894990021	0.0248488918737408
Visa_Fvencimiento	0.00929577492455049	0.0121324597580463	0.0194089993284083
Visa_mpagominimo	0.00923659033291585	0.0158137270778336	0.0227669576897246
mcomisiones	0.00914155320655074	0.0089081857334632	0.0156480859637341
ccomisiones_otras	0.00848414182921438	0.0146064720525828	0.0145735392881128
cliente_antiguedad	0.00832153867220782	0.00998193737872558	0.0165883143049026
mtransferencias_recibidas	0.00720609717579747	0.0102360341402538	0.0153122901276024
Visa_mfinanciacion_limite	0.00718641628686985	0.00973156906757871	0.0145735392881128
Master_mfinanciacion_limite	0.00706535286157236	0.00910177261334076	0.0136333109469443
Visa_mconsumospesos	0.00693824240305117	0.00961999853596182	0.0182001343183345
Visa_mpagospesos	0.00651611629099718	0.0117043457010781	0.0175285426460712
mautoservicio	0.00558412519418002	0.0201699643742742	0.025923438549362
mtransferencias_emitidas	0.00548686729470124	0.0068485247339232	0.0124916051040967
mpagomiscuentas	0.00528731987274974	0.0155309900812991	0.00913364674278039
