Feature	Gain	Cover	Frequency
ctrx_quarter	0.157678733456182	0.0471482513086213	0.0388021361454742
mpasivos_margen	0.0923944408808634	0.0307417476795407	0.0319069830325154
cpayroll_trx	0.0840861644161144	0.0314557174758813	0.00878794024200636
mtarjeta_visa_consumo	0.0756000115019911	0.0315969022064888	0.0331237747583316
mpayroll	0.0736691476331598	0.0616659409882829	0.0208882579598459
mcaja_ahorro	0.0461740905528661	0.0228452488552063	0.0312985871696072
mcuentas_saldo	0.0294760252280693	0.0378541860294144	0.0371121476373961
mprestamos_personales	0.0282037074810662	0.0311986008794638	0.0154802947339958
mrentabilidad_annual	0.0278332666954959	0.0241707236277342	0.0304197931454066
mactivos_margen	0.0249229017358122	0.0258172341565072	0.0248766308389103
Visa_msaldototal	0.0215919841562332	0.0225547375088594	0.0242682349760022
Master_fechaalta	0.0209238764753888	0.0386880820406677	0.0421145136213074
Visa_msaldopesos	0.0189146222005844	0.0250100635193803	0.027918610153451
ctarjeta_visa_trx	0.01407988849053	0.00850726658843896	0.0106807273710539
Visa_fechaalta	0.0137575023813639	0.0143249020180995	0.0237950381937403
chomebanking_trx	0.0137297505650041	0.0182223354971459	0.023119042790509
numero_de_cliente	0.0121334410580417	0.0132687298619749	0.0225106469276009
Visa_mpagominimo	0.0116631379582839	0.0163630732206432	0.0224430473872778
mcaja_ahorro_dolares	0.0110410606875918	0.0246268070633527	0.0282566078550666
mcomisiones_otras	0.0110061323355102	0.0109646721114841	0.0171026837017508
Master_Fvencimiento	0.0103086046240878	0.0226471283737731	0.0250794294598797
cliente_edad	0.0100434045503468	0.0278329270924556	0.0300141959034679
mrentabilidad	0.00994830445368834	0.0120168307701401	0.0179814777259515
Visa_Fvencimiento	0.00925145812935436	0.0122117707080165	0.0189278712904752
cliente_antiguedad	0.00888315977255411	0.0119346708770655	0.016629486919489
mcuenta_corriente	0.0088326812570688	0.0114606549968892	0.0142635030081795
ccomisiones_otras	0.00832558949772569	0.0144192421866501	0.0133847089839789
Visa_mconsumospesos	0.00823276686958155	0.0101301997344206	0.0183870749678902
mcomisiones	0.00773900891351507	0.00866918899919186	0.0146015007097952
Visa_mpagospesos	0.0069377941610798	0.0106955628935753	0.0164942878388427
mtransferencias_recibidas	0.00669673768300576	0.0104974309231225	0.0155478942743189
Visa_mfinanciacion_limite	0.00583999490981149	0.00717955528678739	0.0111539241533158
Master_mfinanciacion_limite	0.00568704284470249	0.00774723731303866	0.012370715879132
mautoservicio	0.0056682669825069	0.0181884754419279	0.023659839113094
mpagomiscuentas	0.00533990972349261	0.0153578759290754	0.00993713242749949
ccaja_ahorro	0.00509909513666556	0.0226061068297514	0.00763874805651322
Master_mlimitecompra	0.00466605927382958	0.00653305284245446	0.0104103292097614
Master_mpagospesos	0.00459095905042344	0.0180419923585076	0.0100047319678226
Visa_mconsumototal	0.00450246030977328	0.00521265238685969	0.00878794024200636
mtransferencias_emitidas	0.00449325394866272	0.00636347491506063	0.0113567227742851
cprestamos_personales	0.00444955048975327	0.00125680873282208	0.00168998850807815
cproductos	0.00439974012806456	0.00664766155618868	0.00736834989522071
Visa_mlimitecompra	0.00348133394370402	0.00753932244250626	0.00797674575812884
mtarjeta_visa_debitos_automaticos	0.00338034507524183	0.00601036756096186	0.00905833840329886
ctransferencias_recibidas	0.00307534419416226	0.0113830619890543	0.00534036368552694
mcomisiones_mantenimiento	0.00299620291967252	0.00443890905188403	0.00527276414520381
mcuenta_debitos_automaticos	0.0028626934531866	0.00565551387590348	0.00540796322585007
mplazo_fijo_dolares	0.00278963878896723	0.0199485645023559	0.00473196782261881
ctarjeta_debito_trx	0.00261706741825954	0.0144718810441936	0.0166970864598121
Master_msaldototal	0.00255844277376917	0.00485007999555329	0.00432637058068005
Visa_cconsumos	0.00243544353384201	0.00341137136195459	0.00730075035489759
ccomisiones_mantenimiento	0.00242894791286626	0.00173184330605818	0.00317717839518691
ccaja_seguridad	0.00236306948707412	0.0109313731033836	0.00365037517744879
thomebanking	0.00228026429149187	0.00235561281053092	0.00297437977421754
Visa_mpagado	0.00227648960085958	0.00823805205451835	0.0062867572500507
ctarjeta_debito	0.00222840006440343	0.00651394660307397	0.00621915770972757
ccallcenter_trx	0.00212009518940036	0.00996966366535054	0.00398837287906442
Master_msaldopesos	0.00199711467243997	0.00448316284005023	0.0041911715000338
cpagomiscuentas	0.00141378642248021	0.00431077201772255	0.0039207733387413
mtarjeta_visa_descuentos	0.00131219495279933	0.0150700376945921	0.00899073886297573
Master_mpagominimo	0.00125293512149787	0.00164155493170776	0.00229838437098628
Visa_mconsumosdolares	0.00120946887041105	0.00219460760649912	0.00256878253227878
ccuenta_debitos_automaticos	0.00116791418662735	0.00367625836520774	0.0023659839113094
mtarjeta_master_consumo	0.00109482249102145	0.00435212674330887	0.00304197931454066
Master_mconsumospesos	0.00105285368333843	0.00222925657438746	0.00351517609680254
ctransferencias_emitidas	0.000940847351759781	0.00218691953763636	0.00304197931454066
mextraccion_autoservicio	0.000929612902754712	0.00520218589012149	0.00959913472588386
Master_cconsumos	0.000859488160291959	0.00197660346203449	0.0018251875887244
Master_fultimo_cierre	0.000856990754132984	0.00266839562112261	0.00365037517744879
Visa_fultimo_cierre	0.000843230076216231	0.00180116039020065	0.00243358345163253
tcallcenter	0.000795004488705335	0.00306620866482011	0.00168998850807815
ctarjeta_visa_debitos_automaticos	0.000706281146006947	0.00138714208453912	0.0018251875887244
cseguro_accidentes_personales	0.000606309364274657	0.00216507891162175	0.00114919218549314
Master_mpagosdolares	0.000557106206409176	0.00108483917454168	0.00148718988710877
cextraccion_autoservicio	0.000521782099284815	0.00278259264499245	0.0039207733387413
Visa_mpagosdolares	0.000456414715322352	0.00218739441710783	0.00196038666937065
cmobile_app_trx	0.000413670519812771	0.000441637908470115	0.00114919218549314
matm	0.000375682876071657	0.00171112285944201	0.00223078483066315
catm_trx	0.000372661206752291	0.0016503861580079	0.00148718988710877
Master_mconsumototal	0.000331257806435989	0.00110376924895694	0.00168998850807815
ctarjeta_master_trx	0.000274672900619224	0.000327094299179559	0.000878794024200635
cplazo_fijo	0.000254967028067679	0.00199540141272583	0.000540796322585007
ctarjeta_visa_descuentos	0.00018814478610282	0.00427056619408334	0.00310957885486379
Master_mconsumosdolares	0.000117758339415735	0.000304010944225487	0.000608395862908132
Master_status	9.65419747822812e-05	0.000153740314052883	0.000202798620969377
ctarjeta_master	5.0300521373813e-05	0.000200006595463111	6.75995403231258e-05
Master_msaldodolares	5.01532377325334e-05	5.93944009925686e-05	6.75995403231258e-05
mttarjeta_master_debitos_automaticos	4.84689457605437e-05	6.59259085619042e-05	0.000202798620969377
Visa_status	4.34185964774145e-05	0.000115933780646562	6.75995403231258e-05
cseguro_vida	3.3798008062124e-05	0.000439437761241394	0.000337997701615629
Master_madelantopesos	2.85522566578823e-05	1.92134702288811e-05	6.75995403231258e-05
Visa_madelantopesos	1.22537774391725e-05	1.7170339599599e-05	6.75995403231258e-05
Visa_msaldodolares	1.02297776108241e-05	3.73469726274762e-05	0.000135199080646252
mforex_sell	3.96067508372269e-06	6.04609649668048e-05	6.75995403231258e-05
Visa_delinquency	3.83379503813201e-06	0.000109942256992369	6.75995403231258e-05
matm_other	3.76890033848627e-06	0.000129289765781747	0.000202798620969377
Master_mpagado	2.23911237792709e-06	9.3229563335037e-05	6.75995403231258e-05
Visa_cadelantosefectivo	4.52796006703066e-11	6.22053810898376e-05	6.75995403231258e-05
catm_trx_other	1.85789262032043e-13	4.11287748700555e-05	0.000135199080646252
