Feature	Gain	Cover	Frequency
ctrx_quarter	0.168648248478958	0.0475489499962769	0.035210321193388
mpasivos_margen	0.105765867668735	0.0333342928879973	0.0367558123908077
cpayroll_trx	0.0804515942238242	0.0311722861372293	0.00987770460959548
mpayroll	0.0695512101057769	0.0669799605958295	0.0262733503561349
mtarjeta_visa_consumo	0.0541551891374242	0.0304975757433109	0.0321193387985486
mcaja_ahorro	0.0332213636988132	0.0187584837035057	0.0262733503561349
mcuentas_saldo	0.0326223854546945	0.0388571403267851	0.0358150786184653
mprestamos_personales	0.0295002650870492	0.0306100249285348	0.0143797876629485
mrentabilidad_annual	0.0269112843054863	0.0237373498033565	0.0311114097567531
mactivos_margen	0.0268504594627781	0.0263988178424083	0.026407740895041
Visa_msaldopesos	0.0256290296463131	0.0269542076234179	0.0292299422120683
Visa_msaldototal	0.0245718043510619	0.0228624567830515	0.0262733503561349
Master_fechaalta	0.0194045191243392	0.037381842701459	0.037427765085338
ctarjeta_visa_trx	0.0170422451501586	0.0109644832752	0.0120279532320925
Visa_fechaalta	0.0135812555739576	0.0139949013242448	0.0238543206558258
chomebanking_trx	0.0135099491424308	0.019447213949462	0.0230479774223895
Visa_mpagominimo	0.0134409714440477	0.0161859277741963	0.0227120010751243
Master_Fvencimiento	0.0121382472349556	0.0243185690460644	0.0268109125117592
numero_de_cliente	0.011741019521699	0.012977442894792	0.0202929713748152
mcomisiones_otras	0.0114340471775237	0.0113984797440962	0.0189490659857546
mcuenta_corriente	0.0105301698588844	0.0108801368346728	0.0145141782018546
mcaja_ahorro_dolares	0.0101819737249557	0.0229458881794138	0.0260717645477758
mrentabilidad	0.0101655816374056	0.0113610909248993	0.0192850423330198
cliente_edad	0.00998397672083435	0.0239212660392127	0.0247950544281683
mcomisiones	0.00922086959759869	0.00939889619807956	0.0158580835909152
cliente_antiguedad	0.00900739851559803	0.0112212267108437	0.0183443085606773
Visa_Fvencimiento	0.00885181642945286	0.0106792091827658	0.0180755274828652
mtransferencias_recibidas	0.0080517578845687	0.0104795901013243	0.0156564977825561
Visa_mconsumospesos	0.00768303953309178	0.00967242563179611	0.0183443085606773
ccomisiones_otras	0.00671839364994299	0.0123893235695714	0.0122967343099046
Visa_mpagospesos	0.00631876331150095	0.0120785142050033	0.0165300362854455
Master_mfinanciacion_limite	0.00605274815459543	0.00899804381323539	0.0141782018545894
mautoservicio	0.00584921504165672	0.0206650403065206	0.0255342023921516
Visa_mfinanciacion_limite	0.00544289809929359	0.00706484204109324	0.0114231958070152
mpagomiscuentas	0.00535351965331426	0.0152051570758223	0.00907136137615912
cproductos	0.00534856635719995	0.00607642241404235	0.00665233167585002
Master_mlimitecompra	0.00490649546108947	0.00793956122211014	0.0119607579626394
Master_mpagospesos	0.00484291329644009	0.0171677109431494	0.0102808762263137
ccaja_ahorro	0.00460111488232247	0.020451403283363	0.00692111275366214
mtransferencias_emitidas	0.0043877048750331	0.00573978167745403	0.0112216099986561
ctransferencias_recibidas	0.00392061427265834	0.01207770422854	0.00645074586749093
mtarjeta_visa_debitos_automaticos	0.00380197870464616	0.00540696158456047	0.00833221341217578
Visa_mlimitecompra	0.00347891644843904	0.0105462030241423	0.0100120951485015
Visa_mconsumototal	0.003303087728607	0.00406824050939068	0.0070555032925682
cprestamos_personales	0.00297552442472227	0.00135349550433739	0.00141110065851364
mcomisiones_mantenimiento	0.00293280173699489	0.00312706123130356	0.00430049724499395
mplazo_fijo_dolares	0.00289149655531449	0.0210865069744198	0.00490525467007123
mcuenta_debitos_automaticos	0.00261715366298272	0.00540177506074484	0.0055100120951485
ccaja_seguridad	0.00256073170148741	0.00992239506616897	0.00349415401155759
Visa_cconsumos	0.00233426502193739	0.00376616895695249	0.00732428437038033
Master_msaldototal	0.00232050294019463	0.00516108979055023	0.00477086413116517
ctarjeta_debito	0.00222489596919356	0.00582270301788309	0.00618196478967881
thomebanking	0.00219588196671849	0.00208978512300603	0.00262061550866819
ctarjeta_debito_trx	0.00214623178075296	0.0142017567048443	0.0187474801773955
Master_msaldopesos	0.0021253912759877	0.00474181808245366	0.00443488778390001
ccallcenter_trx	0.00206513461831317	0.00999707527814845	0.00369573981991668
Visa_mpagado	0.00203599816156461	0.00808584029692927	0.00584598844241365
cmobile_app_trx	0.00170499030710371	0.000512243251764673	0.00114231958070152
cpagomiscuentas	0.00129952230166889	0.00393932817048605	0.00356134928101062
ccuenta_debitos_automaticos	0.00129525695816509	0.00404533575044064	0.00235183443085607
ctransferencias_emitidas	0.00117429528318434	0.00325238980642252	0.00430049724499395
mextraccion_autoservicio	0.00117143548518896	0.0048889281472764	0.00934014245397124
mtarjeta_visa_descuentos	0.00108338784274938	0.0140690810319003	0.00839940868162881
Master_fultimo_cierre	0.00104446336702223	0.00245252658699505	0.0030909823948394
Master_cconsumos	0.000958244821332063	0.0019176632142356	0.00221744389195001
tcallcenter	0.000925037741745941	0.00302823837181695	0.0015454911974197
ccomisiones_mantenimiento	0.000904255245888414	0.0011274681336777	0.0024190297003091
mtarjeta_master_consumo	0.000818390329725255	0.00472580194408526	0.00188146754468485
Master_mconsumospesos	0.000643148168939025	0.00180207728053826	0.00235183443085607
ctarjeta_visa_debitos_automaticos	0.000640222964649563	0.00265589945086671	0.00262061550866819
Master_mpagosdolares	0.000637656878398717	0.00107292462429141	0.0015454911974197
Visa_mconsumosdolares	0.000585136563669267	0.00114513861076593	0.00147829592796667
Visa_fultimo_cierre	0.000575293198897241	0.00144917588438508	0.00174707700577879
Master_mpagominimo	0.000564632693407871	0.000953770209383176	0.00141110065851364
cseguro_accidentes_personales	0.000553443775954059	0.002168589719854	0.00141110065851364
cextraccion_autoservicio	0.000508228048462537	0.00331671989463291	0.00503964520897729
Master_mconsumototal	0.000493424277509389	0.000999163277120527	0.00181427227523182
Visa_mpagosdolares	0.000474066032652081	0.00259993657234783	0.00215024862249698
matm	0.000417721754189151	0.00167432068635128	0.00275500604757425
ctarjeta_master_trx	0.000313412666394533	0.000288063162331389	0.000604757425077275
ctarjeta_visa_descuentos	0.000282020155666612	0.00542403986187601	0.00383013035882274
cplazo_fijo	0.000277919205149328	0.00115536647393678	0.000403171616718183
catm_trx	0.000193274427143897	0.000744907080522154	0.000604757425077275
Visa_delinquency	0.000182812202107454	0.000727280540836414	0.000268781077812122
Master_msaldodolares	0.000141001995558004	6.93886204622432e-05	6.71952694530305e-05
Master_mconsumosdolares	0.000107577307776041	0.000319394350950205	0.000537562155624244
cseguro_vida	9.35912369319687e-05	0.000920186751306303	0.000739147963983336
mttarjeta_master_debitos_automaticos	8.07539744698526e-05	0.000140313139689777	0.000335976347265153
matm_other	5.13409794762797e-05	0.000185597319081828	0.000201585808359092
Visa_status	4.89998454250417e-05	3.82427330626228e-05	6.71952694530305e-05
Master_mpagado	3.62513088275277e-05	1.57391417005319e-05	6.71952694530305e-05
mdescubierto_preacordado	3.56885050272469e-05	6.88231651954199e-05	6.71952694530305e-05
Master_madelantodolares	3.28343805052068e-05	2.00660206848389e-05	6.71952694530305e-05
Master_status	1.60516340746304e-05	1.85358528850906e-05	6.71952694530305e-05
Visa_madelantopesos	1.53535379088802e-05	9.52658402068003e-05	0.000134390538906061
mforex_sell	8.83262674858259e-06	0.000143931289268707	0.000134390538906061
ctarjeta_master_debitos_automaticos	6.24656353043968e-06	5.28337713328817e-05	6.71952694530305e-05
